,movieId,title,genres,year
0,1,toy story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995
1,2,jumanji,"['Adventure', 'Children', 'Fantasy']",1995
2,3,grumpier old men,"['Comedy', 'Romance']",1995
3,4,waiting to exhale,"['Comedy', 'Drama', 'Romance']",1995
4,5,father of the bride part ii,['Comedy'],1995
5,6,heat,"['Action', 'Crime', 'Thriller']",1995
6,7,sabrina,"['Comedy', 'Romance']",1995
7,8,tom and huck,"['Adventure', 'Children']",1995
8,9,sudden death,['Action'],1995
9,10,goldeneye,"['Action', 'Adventure', 'Thriller']",1995
10,11,"american president, the","['Comedy', 'Drama', 'Romance']",1995
11,12,dracula: dead and loving it,"['Comedy', 'Horror']",1995
12,13,balto,"['Adventure', 'Animation', 'Children']",1995
13,14,nixon,['Drama'],1995
14,15,cutthroat island,"['Action', 'Adventure', 'Romance']",1995
15,16,casino,"['Crime', 'Drama']",1995
16,17,sense and sensibility,"['Drama', 'Romance']",1995
17,18,four rooms,['Comedy'],1995
18,19,ace ventura: when nature calls,['Comedy'],1995
19,20,money train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995
20,21,get shorty,"['Comedy', 'Crime', 'Thriller']",1995
21,22,copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995
22,23,assassins,"['Action', 'Crime', 'Thriller']",1995
23,24,powder,"['Drama', 'Sci-Fi']",1995
24,25,leaving las vegas,"['Drama', 'Romance']",1995
25,26,othello,['Drama'],1995
26,27,now and then,"['Children', 'Drama']",1995
27,28,persuasion,"['Drama', 'Romance']",1995
28,29,"city of lost children, the (cité des enfants perdus, la)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995
29,30,shanghai triad (yao a yao yao dao waipo qiao),"['Crime', 'Drama']",1995
30,31,dangerous minds,['Drama'],1995
31,32,twelve monkeys (a.k.a. 12 monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",1995
32,33,wings of courage,"['Adventure', 'Romance', 'IMAX']",1995
33,34,babe,"['Children', 'Drama']",1995
34,35,carrington,"['Drama', 'Romance']",1995
35,36,dead man walking,"['Crime', 'Drama']",1995
36,37,across the sea of time,"['Documentary', 'IMAX']",1995
37,38,it takes two,"['Children', 'Comedy']",1995
38,39,clueless,"['Comedy', 'Romance']",1995
39,40,"cry, the beloved country",['Drama'],1995
40,41,richard iii,"['Drama', 'War']",1995
41,42,dead presidents,"['Action', 'Crime', 'Drama']",1995
42,43,restoration,['Drama'],1995
43,44,mortal kombat,"['Action', 'Adventure', 'Fantasy']",1995
44,45,to die for,"['Comedy', 'Drama', 'Thriller']",1995
45,46,how to make an american quilt,"['Drama', 'Romance']",1995
46,47,seven (a.k.a. se7en),"['Mystery', 'Thriller']",1995
47,48,pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995
48,49,when night is falling,"['Drama', 'Romance']",1995
49,50,"usual suspects, the","['Crime', 'Mystery', 'Thriller']",1995
50,51,guardian angel,"['Action', 'Drama', 'Thriller']",1994
51,52,mighty aphrodite,"['Comedy', 'Drama', 'Romance']",1995
52,53,lamerica,"['Adventure', 'Drama']",1994
53,54,"big green, the","['Children', 'Comedy']",1995
54,55,georgia,['Drama'],1995
55,56,kids of the round table,"['Adventure', 'Children', 'Comedy', 'Fantasy']",1995
56,57,home for the holidays,['Drama'],1995
57,58,"postman, the (postino, il)","['Comedy', 'Drama', 'Romance']",1994
58,59,"confessional, the (confessionnal, le)","['Drama', 'Mystery']",1995
59,60,"indian in the cupboard, the","['Adventure', 'Children', 'Fantasy']",1995
60,61,eye for an eye,"['Drama', 'Thriller']",1996
61,62,mr. holland's opus,['Drama'],1995
62,63,don't be a menace to south central while drinking your juice in the hood,"['Comedy', 'Crime']",1996
63,64,two if by sea,"['Comedy', 'Romance']",1996
64,65,bio-dome,['Comedy'],1996
65,66,lawnmower man 2: beyond cyberspace,"['Action', 'Sci-Fi', 'Thriller']",1996
66,67,two bits,['Drama'],1995
67,68,french twist (gazon maudit),"['Comedy', 'Romance']",1995
68,69,friday,['Comedy'],1995
69,70,from dusk till dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",1996
70,71,fair game,['Action'],1995
71,72,kicking and screaming,"['Comedy', 'Drama']",1995
72,73,"misérables, les","['Drama', 'War']",1995
73,74,bed of roses,"['Drama', 'Romance']",1996
74,75,big bully,"['Comedy', 'Drama']",1996
75,76,screamers,"['Action', 'Sci-Fi', 'Thriller']",1995
76,77,nico icon,['Documentary'],1995
77,78,"crossing guard, the","['Action', 'Crime', 'Drama', 'Thriller']",1995
78,79,"juror, the","['Drama', 'Thriller']",1996
79,80,"white balloon, the (badkonake sefid)","['Children', 'Drama']",1995
80,81,things to do in denver when you're dead,"['Crime', 'Drama', 'Romance']",1995
81,82,antonia's line (antonia),"['Comedy', 'Drama']",1995
82,83,once upon a time... when we were colored,"['Drama', 'Romance']",1995
83,84,last summer in the hamptons,"['Comedy', 'Drama']",1995
84,85,angels and insects,"['Drama', 'Romance']",1995
85,86,white squall,"['Action', 'Adventure', 'Drama']",1996
86,87,dunston checks in,"['Children', 'Comedy']",1996
87,88,black sheep,['Comedy'],1996
88,89,nick of time,"['Action', 'Thriller']",1995
89,90,"journey of august king, the",['Drama'],1995
90,92,mary reilly,"['Drama', 'Horror', 'Thriller']",1996
91,93,vampire in brooklyn,"['Comedy', 'Horror', 'Romance']",1995
92,94,beautiful girls,"['Comedy', 'Drama', 'Romance']",1996
93,95,broken arrow,"['Action', 'Adventure', 'Thriller']",1996
94,96,in the bleak midwinter,"['Comedy', 'Drama']",1995
95,97,"hate (haine, la)","['Crime', 'Drama']",1995
96,98,shopping,"['Action', 'Thriller']",1994
97,99,heidi fleiss: hollywood madam,['Documentary'],1995
98,100,city hall,"['Drama', 'Thriller']",1996
99,101,bottle rocket,"['Adventure', 'Comedy', 'Crime', 'Romance']",1996
100,102,mr. wrong,['Comedy'],1996
101,103,unforgettable,"['Mystery', 'Sci-Fi', 'Thriller']",1996
102,104,happy gilmore,['Comedy'],1996
103,105,"bridges of madison county, the","['Drama', 'Romance']",1995
104,106,nobody loves me (keiner liebt mich),"['Comedy', 'Drama']",1994
105,107,muppet treasure island,"['Adventure', 'Children', 'Comedy', 'Musical']",1996
106,108,catwalk,['Documentary'],1996
107,109,headless body in topless bar,"['Comedy', 'Drama', 'Thriller']",1995
108,110,braveheart,"['Action', 'Drama', 'War']",1995
109,111,taxi driver,"['Crime', 'Drama', 'Thriller']",1976
110,112,rumble in the bronx (hont faan kui),"['Action', 'Adventure', 'Comedy', 'Crime']",1995
111,113,before and after,"['Drama', 'Mystery']",1996
112,114,margaret's museum,['Drama'],1995
113,115,"happiness is in the field (bonheur est dans le pré, le)",['Comedy'],1995
114,116,anne frank remembered,['Documentary'],1995
115,117,"young poisoner's handbook, the","['Crime', 'Drama']",1995
116,118,if lucy fell,"['Comedy', 'Romance']",1996
117,119,"steal big, steal little",['Comedy'],1995
118,120,race the sun,"['Adventure', 'Comedy', 'Drama']",1996
119,121,"boys of st. vincent, the",['Drama'],1992
120,122,boomerang,"['Comedy', 'Romance']",1992
121,123,chungking express (chung hing sam lam),"['Drama', 'Mystery', 'Romance']",1994
122,124,"star maker, the (uomo delle stelle, l')",['Drama'],1995
123,125,flirting with disaster,['Comedy'],1996
124,126,"neverending story iii, the","['Adventure', 'Children', 'Fantasy']",1994
